Bank,SNL Institution Key ,Flag
"First Bancorp, Inc.",1023722,0
First BanCorp.,4041406,1
"First Bancshares of Texas, Inc.",4086037,0
"First Bancshares, Inc.",1021225,0
"First Bancshares, Inc.",1027726,0
First Bank Corp,1022912,0
"First Bank Lubbock Bancshares, Inc.",1027741,0
"First Bankers Trustshares, Inc.",101284,0
"First Banks, Inc.",1019122,1
First Bemidji Holding Company,1019292,0
First Berne Financial Corporation,1019917,0
"First Breckinridge Bancshares, Inc.",1019156,0
First Busey Corporation,100703,0
"First Business Financial Services, Inc.",1021886,0
"First Capital Bancorp, Inc.",4143683,0
"First Cecilian Bancorp, Inc.",1023551,0
First Citizens Banc Corp,100876,0
"First Citizens BancShares, Inc.",100247,1
"First Citizens Bancshares, Inc.",1018553,0
"First Citizens Bancshares, Inc.",1018782,0
First Citizens Financial Corp.,1021166,0
First Clover Leaf Financial Corp.,4057679,0
"First Co Bancorp, Inc.",1022121,0
"First Command Financial Services, Inc.",1032573,0
First Commonwealth Financial Corporation,100503,1
"First Community Bancshares, Inc.",100792,0
"First Community Bancshares, Inc.",1018900,0
"First Community Bancshares, Inc.",1981083,0
First Community Corporation,1024772,0
"First Community Financial Partners, Inc.",4142262,#VALUE!
First Community Holdings,4167012,0
"First Connecticut Bancorp, Inc.",4113813,0
First Dakota Financial Corporation,1022444,0
First Defiance Financial Corp.,102284,0
"First Evanston Bancorp, Inc.",1024786,0
First Farmers and Merchants Corporation,1018155,0
"First Farmers Bancshares, Inc.",1018283,0
First Farmers Financial Corporation,1022015,0
"First Federal Bancorp, Inc.",4223145,0
"First Fidelity Bancorp, Inc.",1017619,0
First Financial Banc Corporation,1032575,0
First Financial Bancorp.,100255,1
"First Financial Bankshares, Inc.",100572,1
First Financial Corporation,100502,0
"First Financial Northwest, Inc.",4087275,0
First Foundation Inc.,4161046,0
"First Guaranty Bancshares, Inc.",4150252,0
First Horizon National Corporation,100292,1
"First Illinois Bancorp, Inc.",1018380,0
First Illinois Corporation,4279299,0
First Internet Bancorp,4112285,0
"First Interstate BancSystem, Inc.",1019278,1
"First Kansas Bancshares, Inc.",1020391,0
First Keystone Corporation,100724,0
First Marblehead Corporation,4094003,0
First Merchants Corporation,100283,1
First Metro Bancorp,1023697,0
"First Miami Bancorp, Inc.",1022112,0
"First Mid-Illinois Bancshares, Inc.",100764,0
"First Midwest Bancorp, Inc.",100268,1
"First Mutual of Richmond, Inc.",4040621,0
"First National Bancshares, Inc.",1021329,0
First National Bank of Gillette Holding Company,1017254,0
"First National Bankers Bankshares, Inc.",1018284,0
"First National Community Bancorp, Inc.",4038801,0
First National Corporation,105434,0
"First National of Nebraska, Inc.",100727,1
First NBC Bank Holding Company,4149832,1
"First Nebraska Bancs, Inc.",1016936,0
First New Mexico Financial Corporation,1018888,0
"First Niagara Financial Group, Inc.",4004398,1
First Northern Community Bancorp,4055885,0
First of Long Island Corporation,100265,0
First Palmetto Financial Corporation,1031009,0
"First Paragould Bankshares, Inc.",1019155,0
First Pulaski National Corporation,1018092,0
"First Reliance Bancshares, Inc.",4073936,0
"First Savings Financial Group, Inc.",4208938,0
First Security Bancorp,1018414,1
"First Security Bankshares, Inc.",1018255,0
"First Security Group, Inc.",4050826,0
"First South Bancorp, Inc.",1019856,0
"First South Bancorp, Inc.",108034,0
"First Southern Bancorp, Inc.",1021930,0
"First State Bancshares, Inc.",1018624,0
First State Bank of the Florida Keys Holding Company,4226869,0
First State Corporation,1018146,0
First State Financial Corporation,1021206,0
"First Texas Bancorp, Inc.",1018656,0
"First Texas BHC, Inc.",4150597,0
First Trust Corporation,1024103,0
First United Corporation,100525,0
First Volunteer Corporation,1018063,0
"First Waterloo Bancshares, Inc.",1020096,0
"First Western Financial, Inc.",4087841,0
First Western Mortgage Corporation,4055933,0
First York Ban Corp.,1016910,0
FirstBank Holding Company,1017386,1
FirstMerit Corporation,100241,1
"FirstPerryton Bancorp, Inc.",1018926,0
"First-West Texas Bancshares, Inc.",1018977,0
Fishback Financial Corporation,1019250,0
Five Star Bancorp,4089447,0
"Flagstar Bancorp, Inc.",109084,1
"Florence Bancorp, MHC",4104640,0
"Florida Bank Group, Inc.",4169961,0
"Florida Business BancGroup, Inc.",4041440,0
"Florida Capital Group, Inc.",4090140,0
"Florida Community Bankshares, Inc.",4057733,0
Flushing Financial Corporation,102398,1
"FMB Bancshares, Inc.",1018327,0
FNB Bancorp,4073192,0
"FNB Bancorp, Inc.",1019089,0
"Forcht Bancorp, Inc.",4137159,0
"Foresight Financial Group, Inc.",1020251,0
"Forstrom Bancorporation, Inc.",1019582,0
"Four Oaks Fincorp, Inc.",1137105,0
"Fox Chase Bancorp, Inc.",4135389,0
Frandsen Financial Corporation,1019596,0
"Franklin Financial Network, Inc.",4185772,0
Franklin Financial Services Corporation,100736,0
Fremont Bancorporation,1016686,0
"FSB Mutual Holdings, Inc.",4094971,0
Fulton Financial Corporation,100294,1
"Gateway Financial Holdings of Florida, Inc.",4109182,0
General Electric Capital Corporation,102862,1
"Georgia Bancshares, Inc.",4072053,0
"Georgia Commerce Bancshares, Inc.",4085132,0
"German American Bancorp, Inc.",100551,0
"Glacier Bancorp, Inc.",1023792,1
"GN Bankshares, Inc.",1017629,0
GNB Bancorporation,1021308,0
"Goldman Sachs Group, Inc.",4039450,1
Goodenow Bancorporation,1021177,0
"Gorham Bancorp, MHC",4137497,0
"Grand Bankshares, Inc.",4076657,0
"Grandpoint Capital, Inc.",4222228,0
"Great Plains Bancshares, Inc.",1017373,0
"Great Southern Bancorp, Inc.",101830,1
"Green Bancorp, Inc.",4111096,0
Green Dot Corporation,4252469,0
"Greene County Bancorp, MHC",4073718,0
"GSB, MHC",4104888,0
Guaranty Bancorp,4093621,0
"Guaranty Bancshares, Inc.",1023307,0
Guaranty Capital Corporation,1018434,0
"Guaranty Federal Bancshares, Inc.",1032022,0
"Guaranty Financial, M.H.C.",4081849,0
"Guardian Bancorp, Inc.",1031003,0
H Bancorp LLC,1027768,0
"H&R Block, Inc.",4001615,1
"Hamilton State Bancshares, Inc.",4143160,0
"Hampden Bancorp, Inc.",4144009,0
"Hampton Roads Bankshares, Inc.",4066242,0
Hancock Holding Company,100308,1
Hanmi Financial Corporation,4054775,1
"Happy Bancshares, Inc.",1023235,0
Harleysville Savings Financial Corporation,4054463,0
"Haven Bancorp, MHC",4237192,0
"Hawaii National Bancshares, Inc.",101062,0
"Hawaiian Electric Industries, Inc.",1031123,1
"Hawthorn Bancshares, Inc.",1023919,0
"HCBF Holding Company, Inc.",4260204,0
HCSB Financial Corporation,4050095,0
Heartland BancCorp,1022368,0
"Heartland Bancorp, Inc.",1021441,0
"Heartland Financial USA, Inc.",1021344,1
"Henderson Citizens Bancshares, Inc.",1023509,0
Heritage Bancorp,4087998,0
Heritage Commerce Corp,4019167,0
Heritage Financial Corporation,1024198,0
"Heritage Financial Group, Inc.",4076467,0
"Heritage Group, Inc.",1017093,0
Heritage Oaks Bancorp,100842,0
"Herring Bancorp, Inc.",1018955,0
HF Financial Corp.,102168,0
High Point Bank Corporation,1022855,0
"Highlands Bankshares, Inc.",100797,0
"Highlands Bankshares, Inc.",1024955,0
Hills Bancorporation,1021748,0
Hilltop Holdings Inc.,4383039,1
"HMN Financial, Inc.",102447,0
"Home Bancorp, Inc.",4208452,0
"Home BancShares, Inc.",1022914,1
Home State Bancorp,4096814,0
"Home State Bancorp, Inc.",1021509,0
"HomeBancorp, Inc.",4156677,0
"HomeStreet, Inc.",103809,0
Hometown Banc Corp,1032776,0
"Hometown Community Bancorp, Inc.",1974114,0
"HomeTrust Bancshares, Inc.",4309281,0
"Honat Bancorp, Inc.",1020761,0
"HopFed Bancorp, Inc.",4002057,0
Hopkins Financial Corporation,1019418,0
Horizon Bancorp,100750,0
"HSB Bancorp, Inc.",4056109,0
HSBC North America Holdings Inc.,4093817,1
"Hudson City Bancorp, Inc.",4047078,1
Hudson Valley Holding Corp.,1016867,0
Huntington Bancshares Incorporated,100307,1
"Hy-Vee, Inc.",1021011,0
IBERIABANK Corporation,1024573,1
IBT Holdings Corp.,4161780,0
"Ida Grove Bancshares, Inc.",1021268,0
"IF Bancorp, Inc.",4282019,0
"Illinois National Bancorp, Inc.",1021438,0
IMB HoldCo LLC,4224604,1
"Independence Bancshares, Inc.",1019125,0
"Independent Alliance Banks, Inc.",1984153,0
Independent Bank Corp.,100325,1
Independent Bank Corporation,100319,0
"Independent Bank Group, Inc.",4087983,1
Independent Bankers Financial Corporation,1018940,0
"Independent Holdings, Inc.",4088004,0
"Independent Southern Bancshares, Inc.",1018632,0
"Industry Bancshares, Inc.",1024056,0
"Inland Bancorp, Inc.",4064697,0
"Integrity Bancshares, Inc.",4222538,0
"Inter-Mountain Bancorp., Inc.",1019207,0
International Bancshares Corporation,101236,1
Intervest Bancshares Corporation,1023951,0
INTRUST Financial Corporation,101240,1
Investar Holding Corporation,4410473,0
"Investors Bancorp, Inc.",1032002,1
"Inwood Bancshares, Inc.",1020035,0
Ion Financial MHC,4102912,0
Iowa First Bancshares Corp.,100751,0
"Ireland Bancorp, Ltd.",1021997,0
"Ironhorse Financial Group, Inc.",4149524,0
Isabella Bank Corporation,1022412,0
"Jacksonville Bancorp, Inc.",4041254,0
"Jeff Davis Bancshares, Inc.",1023137,0
"Jefferson Bancshares, Inc.",1018946,0
"Jefferson County Bancshares, Inc.",1023926,0
"JLL/FCH Holdings I, LLC",4201033,0
John Deere Capital Corporation,102855,1
"Johnson Financial Group, Inc.",1022905,1
JPMorgan Chase & Co.,100201,1
JRMB II Inc.,4275416,0
Katahdin Bankshares Corporation,1020454,0
"Kearny, MHC",4065964,0
"Kennebec Savings, MHC",4538471,0
"Kentucky Bancshares, Inc.",1017833,0
Keweenaw Financial Corporation,1023021,0
KeyCorp,100334,1
"Kish Bancorp, Inc.",1020595,0
"Klein Financial, Inc.",1019294,0
Lake Michigan Financial Corporation,4047264,0
"Lakeland Bancorp, Inc.",1022451,0
Lakeland Financial Corporation,100608,0
"Lakeside Bancorp, Inc.",1024108,0
"Landmark Bancorp, Inc.",102409,0
Landrum Company,1017066,0
Lauritzen Corporation,1017700,0
LCNB Corp.,4047115,0
"Leackco Bank Holding Company, Inc.",1019806,0
Leader Bancorp Inc.,4135423,0
Learner Financial Corporation,1016802,0
"LegacyTexas Financial Group, Inc.",4122259,1
"Legend Bancorp, Inc.",1022531,0
"Level One Bancorp, Inc.",4170465,0
"Liberty Bancshares, Inc.",1024868,0
"Liberty Capital, Inc.",1031091,0
"Liberty Financial Services, Inc.",1019743,0
"Liberty Shares, Inc.",1018321,0
"LINCO Bancshares, Inc.",4149398,0
Lincoln Bancorp,1021575,0
"Lincoln County Bancorp, Inc.",1018449,0
"LNB Bancorp, Inc.",100612,0
"Lone Star National Bancshares--Texas, Inc.",1024721,0
"Lone Star State Bancshares, Inc.",4200947,0
Longview Financial Corporation,1018704,0
Lowell Five Bancorp MHC,4306970,0
Luana Bancorporation,1021511,0
Luther Burbank Corporation,1031084,1
"Lyons Bancorp, Inc.",1021806,0
"M & F Bancorp, Inc.",1023748,0
M&T Bank Corporation,100253,1
"Mabrey Bancorporation, Inc.",1023961,0
Macatawa Bank Corporation,4004314,0
"Machias Bancorp, MHC",4048991,0
Mackinac Financial Corporation,1019295,0
Magnolia Banking Corporation,1020097,0
"Magyar Bancorp, MHC",4113450,0
"MainSource Financial Group, Inc.",100513,0
Malaga Financial Corporation,4088008,0
"Malvern Bancorp, Inc.",4190220,0
Manhattan Banking Corporation,1020392,0
"Marine Bancorp, Inc.",1023065,0
"Market Street Bancshares, Inc.",1022117,0
Marlin Business Services Corp.,4089372,0
Marquette Financial Companies,1019259,0
Marquette National Corporation,1021400,0
Marshfield Investment Company,1018355,0
Mascoma Mutual Financial Services Corporation,1032049,0
"MB Financial, Inc.",102316,1
"MBT Bancshares, Inc.",4040474,0
MBT Financial Corp.,4056273,0
Mercantil Commercebank Holding Corporation,1020142,1
Mercantile Bank Corporation,113567,0
"Merchants & Marine Bancorp, Inc.",4206027,0
Merchants Bancorp,4149826,0
"Merchants Bancorp, Incorporated",1027866,0
